Orthogroup	Arabidopsis_thaliana	Lotus_japonicus
OG0000023	AT4G26930, AT5G55020, AT2G32460	LotjaGi3g1v0467100
OG0000023	AT1G06180, AT2G31180	LotjaGi1g1v0709500, LotjaGi5g1v0208800, LotjaGi1g1v0784600
OG0000023	AT3G23250	LotjaGi6g1v0005400, LotjaGi5g1v0191000
OG0000023	AT5G35550	LotjaGi6g1v0225900, LotjaGi6g1v0226000, LotjaGi6g1v0226300, LotjaGi4g1v0326500
OG0000025	AT4G27290	LotjaGi6g1v0343500, LotjaGi3g1v0095900, LotjaGi3g1v0096000, LotjaGi3g1v0096100, LotjaGi3g1v0096200, LotjaGi3g1v0096400_LC, LotjaGi3g1v0096700_LC, LotjaGi3g1v0095700, LotjaGi3g1v0098100, LotjaGi3g1v0098000, LotjaGi3g1v0098200, LotjaGi3g1v0097900, LotjaGi1g1v0202800, LotjaGi1g1v0202300, LotjaGi3g1v0080100
OG0000025	AT4G11900	LotjaGi5g1v0265500_LC
OG0000028	AT1G04645	LotjaGi4g1v0385000_LC, LotjaGi5g1v0328400_LC, LotjaGi4g1v0290600_LC, LotjaGi1g1v0640900, LotjaGi4g1v0323900_LC, LotjaGi4g1v0324000, LotjaGi4g1v0324100, LotjaGi4g1v0349200, LotjaGi3g1v0148000, LotjaGi5g1v0328200_LC, LotjaGi4g1v0385100, LotjaGi4g1v0142200_LC, LotjaGi4g1v0143700, LotjaGi2g1v0214400, LotjaGi5g1v0153600, LotjaGi2g1v0102300, LotjaGi4g1v0143900, LotjaGi6g1v0335700, LotjaGi5g1v0059200_LC, LotjaGi3g1v0248300, LotjaGi3g1v0174300, LotjaGi1g1v0476000, LotjaGi2g1v0112400, LotjaGi2g1v0097400, LotjaGi1g1v0232500, LotjaGi1g1v0232400, LotjaGi1g1v0297000, LotjaGi1g1v0476100_LC
OG0000028	AT4G16195, AT3G17080, AT3G16970, AT5G12060, AT5G12070	LotjaGi4g1v0064500, LotjaGi3g1v0313200, LotjaGi2g1v0448200
OG0000030	AT4G31950, AT4G31970, AT4G31940	LotjaGi1g1v0349800
OG0000030	AT2G25160	LotjaGi6g1v0206000
OG0000030	AT3G25180	LotjaGi3g1v0087500, LotjaGi3g1v0087300
OG0000032	AT1G24430	LotjaGi6g1v0100200_LC
OG0000033	AT1G03840, AT5G44160	LotjaGi3g1v0448100, LotjaGi3g1v0242600
OG0000033	AT5G03150	LotjaGi5g1v0077200
OG0000033	AT4G02670	LotjaGi5g1v0043100
OG0000033	AT3G13810	LotjaGi3g1v0424200
OG0000033	AT5G66730, AT3G50700	LotjaGi4g1v0115600, LotjaGi2g1v0392400
OG0000033	AT2G02080, AT1G14580	LotjaGi3g1v0026400
OG0000034	AT1G05700, AT2G19190, AT4G29990, AT2G19230, AT2G19210	LotjaGi3g1v0373700, LotjaGi3g1v0373800
OG0000035	AT4G08850	LotjaGi1g1v0066400, LotjaGi1g1v0494700, LotjaGi1g1v0493800, LotjaGi5g1v0345500, LotjaGi5g1v0346800, LotjaGi5g1v0345400, LotjaGi6g1v0027800
OG0000036	AT1G48720	LotjaGi1g1v0615000_LC, LotjaGi6g1v0171900_LC
OG0000041	AT1G78740, AT1G16930, AT1G80470, AT1G60410, AT1G60400, AT1G16945, AT1G78760, AT1G78750, AT1G69630, AT1G78730, AT4G13985, AT1G66300, AT1G66310, AT1G66320, AT1G66640, AT1G66290, AT1G78840, AT5G22670, AT3G23955, AT5G25850, AT5G53640, AT5G53635, AT5G22660, AT5G22700, AT5G44490, AT5G22730, AT5G22720, AT5G22600, AT5G22610, AT5G53840, AT1G51370, AT5G22680, AT3G19085, AT1G13780, AT5G27750, AT5G44950, AT2G26030, AT5G44940, AT5G44960, AT5G44980, AT5G44970, AT2G27505, AT1G32020	LotjaGi5g1v0317300_LC
OG0000045	AT5G47260	LotjaGi4g1v0048200, LotjaGi4g1v0050000
OG0000047	AT4G23160	LotjaGi3g1v0275600_LC, LotjaGi3g1v0466100_LC, LotjaGi1g1v0377900_LC, LotjaGi6g1v0073900_LC, LotjaGi6g1v0090300_LC, LotjaGi6g1v0030100_LC
OG0000048	AT4G23180, AT4G23230, AT4G23140, AT4G23150, AT4G23170, AT4G23270, AT4G23280, AT4G23310, AT4G23130, AT3G45860, AT4G05200	LotjaGi5g1v0318900, LotjaGi5g1v0318700, LotjaGi2g1v0458700
OG0000049	AT5G41980	LotjaGi2g1v0167000, LotjaGi2g1v0195900_LC
OG0000049	AT1G43722, AT3G30525	LotjaGi2g1v0102100_LC
OG0000049	AT5G35695	LotjaGi3g1v0236600_LC, LotjaGi3g1v0236500_LC, LotjaGi1g1v0704500_LC, LotjaGi1g1v0704600_LC, LotjaGi3g1v0253400_LC
OG0000053	AT2G44480	LotjaGi3g1v0125500
OG0000053	AT2G25630, AT5G42260, AT5G44640, AT2G44450, AT3G60130	LotjaGi3g1v0106300, LotjaGi3g1v0057300
OG0000056	AT2G17043	LotjaGi3g1v0509900, LotjaGi1g1v0566000, LotjaGi1g1v0565500, LotjaGi3g1v0510400, LotjaGi3g1v0510200_LC, LotjaGi1g1v0565700, LotjaGi1g1v0565600, LotjaGi1g1v0565900, LotjaGi3g1v0510300_LC, LotjaGi3g1v0510000
OG0000057	AT3G05950, AT3G04200, AT3G04170, AT3G04150, AT3G04190, AT3G04180	LotjaGi1g1v0620000, LotjaGi1g1v0620100, LotjaGi2g1v0243100, LotjaGi2g1v0242900, LotjaGi2g1v0243300
OG0000059	AT5G12250	LotjaGi4g1v0464300
OG0000059	AT5G23860	LotjaGi5g1v0300100
OG0000059	AT4G20890	LotjaGi6g1v0268300
OG0000059	AT5G44340	LotjaGi3g1v0217800
OG0000059	AT1G20010	LotjaGi5g1v0005400
OG0000060	AT2G24520, AT1G80660, AT3G42640, AT2G07560, AT3G60330, AT5G62670, AT3G47950, AT1G17260, AT2G18960, AT5G57350, AT4G30190	LotjaGi6g1v0240600
OG0000064	AT4G37410, AT4G37400, AT5G57220, AT4G37430, AT4G37330, AT4G37320, AT2G23190, AT2G23220, AT3G28740, AT4G37360, AT4G37370, AT4G37340, AT1G66540, AT5G36220	LotjaGi6g1v0245700, LotjaGi6g1v0245800, LotjaGi4g1v0019000, LotjaGi2g1v0405500, LotjaGi2g1v0405300
OG0000071	AT5G53300, AT2G16740, AT5G56150, AT3G08690, AT5G41700	LotjaGi4g1v0146800, LotjaGi4g1v0146900, LotjaGi1g1v0105100, LotjaGi3g1v0520900, LotjaGi1g1v0276600, LotjaGi3g1v0332500
OG0000072	AT4G35020, AT5G45970, AT2G44690, AT1G20090, AT1G75840, AT3G51300, AT2G17800, AT4G35950	LotjaGi1g1v0430100, LotjaGi1g1v0558900, LotjaGi3g1v0520950, LotjaGi2g1v0379300, LotjaGi4g1v0130300, LotjaGi1g1v0430200
OG0000072	AT5G62880, AT3G48040	LotjaGi1g1v0183200
OG0000074	AT2G01050	LotjaGi1g1v0437100_LC, LotjaGi3g1v0557100_LC, LotjaGi4g1v0179300_LC, LotjaGi3g1v0417000_LC, LotjaGi1g1v0167400_LC, LotjaGi6g1v0232300_LC, LotjaGi4g1v0322600_LC, LotjaGi2g1v0319500_LC, LotjaGi6g1v0081300_LC, LotjaGi1g1v0086100_LC, LotjaGi6g1v0020900_LC, LotjaGi1g1v0236900_LC, LotjaGi6g1v0257700_LC, LotjaGi1g1v0306300_LC
OG0000075	AT2G39705, AT3G55515	LotjaGi6g1v0062700
OG0000075	AT4G13395	LotjaGi3g1v0489800
OG0000077	AT2G34930	LotjaGi6g1v0316000
OG0000081	AT2G06105	LotjaGi5g1v0110600_LC, LotjaGi2g1v0062500_LC, LotjaGi1g1v0289800_LC, LotjaGi2g1v0014500_LC, LotjaGi4g1v0178200_LC, LotjaGi4g1v0163600_LC, LotjaGi6g1v0182600_LC, LotjaGi4g1v0186600, LotjaGi4g1v0205100, LotjaGi3g1v0232000_LC, LotjaGi4g1v0182400_LC, LotjaGi2g1v0129200_LC
OG0000083	AT5G15500	LotjaGi1g1v0374700
OG0000085	AT1G33730, AT1G33720, AT2G45550, AT2G45570, AT2G45560, AT3G61035, AT3G61040, AT2G45580	LotjaGi1g1v0465000, LotjaGi1g1v0465100, LotjaGi1g1v0466300, LotjaGi1g1v0465900, LotjaGi1g1v0465800, LotjaGi1g1v0464700, LotjaGi1g1v0464300, LotjaGi1g1v0464400, LotjaGi1g1v0464800, LotjaGi1g1v0465700, LotjaGi5g1v0284100
OG0000090	AT5G42905	LotjaGi2g1v0408300_LC, LotjaGi4g1v0034400_LC, LotjaGi1g1v0675000_LC
OG0000093	AT2G22160	LotjaGi2g1v0358200_LC
OG0000093	AT5G45890	LotjaGi3g1v0249300, LotjaGi3g1v0248000
OG0000095	AT5G14670, AT1G10630, AT2G47170, AT1G23490, AT1G70490, AT3G62290	LotjaGi4g1v0167400
OG0000100	AT2G19146, AT4G10613, AT1G33710, AT1G60720, AT1G50080, AT3G27590, AT1G34440, AT2G02520, AT3G25727, AT4G05095, AT3G25720, AT5G16486, AT4G04650, AT1G43730, AT5G28615, AT5G18880, AT5G11565, AT2G11035, AT1G44941	LotjaGi3g1v0186900_LC
OG0000102	AT1G52790	LotjaGi0g1v0001800, LotjaGi5g1v0134200
OG0000102	AT1G52800	LotjaGi1g1v0668100, LotjaGi1g1v0668300
OG0000102	AT1G52820, AT4G03070, AT4G03050	LotjaGi1g1v0668200, LotjaGi3g1v0416200, LotjaGi3g1v0361000, LotjaGi3g1v0361100
OG0000105	AT3G07040	LotjaGi2g1v0340000, LotjaGi3g1v0104400_LC, LotjaGi3g1v0104300, LotjaGi3g1v0104500, LotjaGi3g1v0104550, LotjaGi6g1v0150800, LotjaGi6g1v0148900, LotjaGi6g1v0150000_LC, LotjaGi2g1v0005900_LC, LotjaGi6g1v0281100, LotjaGi2g1v0001700, LotjaGi6g1v0150300, LotjaGi1g1v0478800
OG0000107	AT2G03090, AT5G56320, AT1G26770, AT1G69530, AT3G29030, AT2G40610	LotjaGi1g1v0220500, LotjaGi4g1v0250200, LotjaGi1g1v0307600, LotjaGi1g1v0106800, LotjaGi6g1v0042100, LotjaGi1g1v0505000, LotjaGi2g1v0260200, LotjaGi2g1v0302000
OG0000108	AT4G19510	LotjaGi3g1v0425100_LC
OG0000112	AT5G09640	LotjaGi6g1v0313600, LotjaGi6g1v0313800, LotjaGi6g1v0313700_LC, LotjaGi1g1v0347500, LotjaGi3g1v0228200, LotjaGi3g1v0228100, LotjaGi3g1v0063700
OG0000112	AT3G12203, AT3G12220, AT3G12240, AT3G12230, AT1G73290, AT1G73300, AT5G36180, AT1G73280, AT1G73310, AT1G73270, AT3G10450, AT2G23000, AT2G22990, AT2G23010, AT2G22920, AT2G22970, AT2G22980, AT1G33540	LotjaGi4g1v0093600
OG0000113	AT1G71930	LotjaGi5g1v0280000
OG0000113	AT1G12260, AT1G62700	LotjaGi4g1v0209400_LC, LotjaGi2g1v0426000, LotjaGi3g1v0553600
OG0000114	AT1G22720, AT3G25490, AT1G21245, AT1G21250, AT1G21240, AT1G21230, AT1G21270, AT1G21210	LotjaGi1g1v0164600_LC
OG0000116	AT5G35917, AT5G05260	LotjaGi3g1v0091500, LotjaGi3g1v0093400, LotjaGi3g1v0090800, LotjaGi6g1v0043100, LotjaGi6g1v0043400, LotjaGi6g1v0185000, LotjaGi6g1v0301700
OG0000116	AT5G35920	LotjaGi3g1v0092200_LC
OG0000118	AT4G35680	LotjaGi4g1v0137600, LotjaGi2g1v0356900
OG0000118	AT2G17680, AT4G35710, AT4G35690	LotjaGi4g1v0137700, LotjaGi2g1v0357100, LotjaGi2g1v0357400_LC, LotjaGi2g1v0357600, LotjaGi2g1v0357000
OG0000119	ATMG00300	LotjaGi3g1v0145700_LC, LotjaGi4g1v0347500_LC, LotjaGi2g1v0395400_LC
OG0000120	AT2G07656	LotjaGi6g1v0340200, LotjaGi2g1v0238700, LotjaGi4g1v0421600, LotjaGi3g1v0295400
OG0000123	AT1G07790	LotjaGi3g1v0169700
OG0000124	AT5G07610	LotjaGi4g1v0395000_LC, LotjaGi1g1v0650700_LC, LotjaGi5g1v0262800_LC, LotjaGi1g1v0028200_LC, LotjaGi4g1v0458300, LotjaGi1g1v0564400, LotjaGi1g1v0145700_LC, LotjaGi1g1v0304800_LC
OG0000127	AT1G79670, AT1G16130, AT1G16150, AT1G16120, AT1G16110, AT1G16160, AT1G16090, AT1G17910, AT4G31100, AT4G31110, AT1G19390, AT1G69730, AT1G79680, AT1G16260	LotjaGi6g1v0267200, LotjaGi6g1v0267250, LotjaGi6g1v0267300
OG0000129	AT5G38392	LotjaGi2g1v0438000
OG0000130	AT5G01870, AT3G08770	LotjaGi3g1v0151900
OG0000131	AT3G30200, AT1G40087	LotjaGi1g1v0737700_LC, LotjaGi1g1v0540400_LC, LotjaGi3g1v0092100, LotjaGi3g1v0340900, LotjaGi2g1v0289300, LotjaGi2g1v0207700_LC, LotjaGi6g1v0134800_LC
OG0000134	AT5G65790, AT3G49690	LotjaGi2g1v0412300, LotjaGi4g1v0091600
OG0000139	AT1G58170	LotjaGi3g1v0198100, LotjaGi3g1v0198200, LotjaGi3g1v0200700, LotjaGi1g1v0447500
OG0000139	AT1G22900, AT5G42510, AT5G42500, AT1G65870	LotjaGi1g1v0277900, LotjaGi1g1v0733300_LC, LotjaGi1g1v0278000, LotjaGi5g1v0116100
OG0000140	AT4G39250, AT2G21650, AT4G36570, AT2G18328, AT1G75250, AT1G19510	LotjaGi5g1v0015800, LotjaGi3g1v0508900, LotjaGi4g1v0118900, LotjaGi3g1v0106200
OG0000143	AT2G32830, AT4G08878, AT5G43340, AT2G38940, AT3G54700, AT5G43360, AT5G43370, AT5G43350	LotjaGi5g1v0185400, LotjaGi5g1v0180700, LotjaGi1g1v0709800, LotjaGi1g1v0456000, LotjaGi6g1v0005700, LotjaGi6g1v0005500, LotjaGi5g1v0185300, LotjaGi6g1v0025100
OG0000144	AT2G39060	LotjaGi1g1v0547800
OG0000145	AT1G08290	LotjaGi3g1v0175900, LotjaGi3g1v0477700
OG0000145	AT3G57670	LotjaGi1g1v0721900
OG0000151	AT5G66080, AT3G51370, AT4G38520, AT3G12620, AT3G55050	LotjaGi1g1v0491500, LotjaGi1g1v0695300, LotjaGi5g1v0072200, LotjaGi5g1v0361600, LotjaGi4g1v0132800, LotjaGi5g1v0349800
OG0000152	AT1G50010	LotjaGi5g1v0319800, LotjaGi1g1v0412500
OG0000152	AT5G19780	LotjaGi4g1v0376700
OG0000153	AT2G05642, AT1G36920, AT5G28885	LotjaGi3g1v0243400_LC
OG0000154	AT5G37320, AT3G09140, AT3G09110, AT3G09120, AT5G01120, AT5G43240, AT5G01150, AT5G01130, AT5G01140	LotjaGi2g1v0441600, LotjaGi3g1v0216200
OG0000155	AT1G70880, AT1G70860, AT1G70890, AT1G70840, AT1G70830, AT1G70850, AT1G23130, AT5G28010, AT5G28000, AT1G35260, AT1G35310	LotjaGi2g1v0061300, LotjaGi2g1v0061200
OG0000157	AT3G28510, AT3G28540, AT3G28520, AT5G40010, AT3G28580	LotjaGi4g1v0244100, LotjaGi2g1v0254900, LotjaGi1g1v0497300, LotjaGi2g1v0254500
OG0000160	AT5G57550, AT4G25810, AT5G57560, AT2G18800, AT4G30270	LotjaGi4g1v0299000, LotjaGi6g1v0232500, LotjaGi4g1v0308800, LotjaGi4g1v0299200, LotjaGi4g1v0298500, LotjaGi4g1v0298700, LotjaGi4g1v0298800, LotjaGi4g1v0298900
OG0000161	AT4G16730, AT4G16740, AT2G24210, AT3G25830, AT3G25820, AT3G25810	LotjaGi4g1v0043400, LotjaGi3g1v0462800
OG0000165	AT3G49210, AT3G49200, AT3G49190, AT5G16350, AT5G12420, AT5G53380, AT5G22490, AT1G72110, AT5G37300, AT2G43255, AT2G38995, AT5G53390	LotjaGi6g1v0012800, LotjaGi4g1v0286300, LotjaGi3g1v0357700
OG0000169	AT5G63660, AT2G02120, AT2G02130, AT2G02100, AT1G61070, AT2G02140	LotjaGi1g1v0328600_LC
OG0000170	AT1G01490	LotjaGi3g1v0387300, LotjaGi1g1v0481100
OG0000170	AT5G52740	LotjaGi5g1v0296300_LC, LotjaGi2g1v0125100, LotjaGi2g1v0125000
OG0000174	AT1G11610, AT2G30770, AT2G30750, AT5G24960, AT5G24950, AT5G42590, AT4G20240, AT4G13290, AT4G13310, AT4G20235, AT3G48280, AT3G48320, AT3G48310, AT3G48290, AT3G48270, AT3G48300	LotjaGi4g1v0227200
OG0000176	AT4G27280, AT5G54490	LotjaGi3g1v0080500
OG0000185	AT4G21323	LotjaGi4g1v0370500
OG0000187	AT2G24190, AT3G61220, AT1G01800	LotjaGi3g1v0379900, LotjaGi3g1v0380000_LC
OG0000188	AT4G31500	LotjaGi6g1v0219400, LotjaGi6g1v0219500, LotjaGi6g1v0203100, LotjaGi6g1v0024500, LotjaGi6g1v0163500, LotjaGi6g1v0163600_LC, LotjaGi1g1v0602900, LotjaGi1g1v0602700, LotjaGi1g1v0603000, LotjaGi3g1v0207500_LC, LotjaGi3g1v0207400_LC, LotjaGi5g1v0008800, LotjaGi5g1v0008700
OG0000191	AT5G18430	LotjaGi1g1v0787000, LotjaGi5g1v0205400, LotjaGi3g1v0219600, LotjaGi1g1v0786900, LotjaGi4g1v0194800, LotjaGi1g1v0701200, LotjaGi1g1v0497400, LotjaGi2g1v0075400, LotjaGi1g1v0787100
OG0000192	AT3G53600, AT2G37430	LotjaGi1g1v0535100, LotjaGi5g1v0356300, LotjaGi3g1v0280700, LotjaGi1g1v0697800
OG0000192	AT2G28710	LotjaGi5g1v0070000
OG0000194	AT2G15480, AT2G15490, AT4G34135, AT4G34131, AT4G34138	LotjaGi4g1v0077300, LotjaGi4g1v0077500, LotjaGi4g1v0077400
OG0000195	AT2G21910, AT4G39500, AT4G32170, AT1G47620, AT1G66030, AT5G02900, AT4G39510, AT1G57750, AT1G65340, AT5G52320, AT5G51900, AT2G23180, AT4G39490, AT4G39480	LotjaGi2g1v0240700
OG0000197	AT2G26560, AT4G37060, AT4G37070, AT5G43590, AT4G37050	LotjaGi2g1v0400000
OG0000199	AT1G77690, AT2G38120, AT2G21050, AT5G01240	LotjaGi3g1v0210500
OG0000200	AT5G13930	LotjaGi2g1v0446700, LotjaGi2g1v0450100
OG0000205	AT1G75520, AT1G19790	LotjaGi5g1v0010600
OG0000205	AT5G33210, AT3G51060, AT5G66350	LotjaGi4g1v0123100, LotjaGi2g1v0386300
OG0000205	AT4G36260, AT2G18120	LotjaGi3g1v0512900
OG0000206	AT1G68170, AT1G25270	LotjaGi4g1v0124600, LotjaGi4g1v0030800, LotjaGi6g1v0353200, LotjaGi3g1v0015200
OG0000208	ATMG00120	LotjaGi1g1v0043400, LotjaGi2g1v0136400, LotjaGi6g1v0230100_LC, LotjaGi2g1v0131900_LC, LotjaGi1g1v0291200, LotjaGi1g1v0537900_LC, LotjaGi5g1v0115600, LotjaGi5g1v0119700, LotjaGi1g1v0602800_LC, LotjaGi3g1v0183100_LC, LotjaGi2g1v0254000, LotjaGi3g1v0423800, LotjaGi1g1v0695500, LotjaGi2g1v0289100_LC
OG0000211	AT1G17860	LotjaGi2g1v0177000, LotjaGi2g1v0176900, LotjaGi2g1v0176700, LotjaGi2g1v0176600, LotjaGi2g1v0177400, LotjaGi2g1v0177200, LotjaGi2g1v0177300
OG0000211	AT1G73260	LotjaGi2g1v0178000, LotjaGi2g1v0177800, LotjaGi2g1v0178600, LotjaGi2g1v0177500_LC
OG0000215	AT3G58160	LotjaGi5g1v0178200
OG0000215	AT1G17580, AT5G20490, AT5G20470, AT5G20450, AT1G54560, AT1G08730	LotjaGi1g1v0783500, LotjaGi5g1v0210600
OG0000217	AT3G50940, AT3G50930	LotjaGi2g1v0387000
OG0000217	AT3G29800, AT5G17760, AT5G17740, AT5G17750, AT5G17730	LotjaGi3g1v0158500
OG0000218	AT5G67150, AT3G50270, AT5G38130, AT3G50300, AT3G50290, AT3G50280, AT5G67160	LotjaGi4g1v0103600, LotjaGi4g1v0320400
OG0000219	AT4G13266, AT3G13950	LotjaGi3g1v0418400, LotjaGi3g1v0418600, LotjaGi3g1v0394100, LotjaGi3g1v0418100, LotjaGi3g1v0406200
OG0000220	AT4G34110, AT1G49760, AT2G23350, AT2G15500	LotjaGi5g1v0027000, LotjaGi4g1v0076900
OG0000220	AT1G71770, AT1G22760	LotjaGi5g1v0285400
OG0000222	AT2G25560	LotjaGi2g1v0162900
OG0000222	AT5G53150, AT4G19590, AT4G19570, AT5G37760, AT5G37440, AT5G37750, AT4G19580	LotjaGi1g1v0172300, LotjaGi4g1v0131500_LC, LotjaGi6g1v0132100
OG0000223	AT1G25390	LotjaGi1g1v0547400
OG0000223	AT1G18390	LotjaGi2g1v0204300
OG0000224	AT3G61970, AT2G46870, AT1G01030	LotjaGi1g1v0798100, LotjaGi3g1v0405300
OG0000224	AT5G06250, AT3G11580, AT2G36080	LotjaGi1g1v0734300
OG0000226	AT3G11340	LotjaGi6g1v0068700
OG0000227	AT5G59870, AT5G02560, AT5G27670	LotjaGi3g1v0281100
OG0000231	AT5G37960	LotjaGi6g1v0007900_LC
OG0000231	AT5G16960, AT5G37940, AT5G38000, AT5G37980, AT1G26320, AT3G03080	LotjaGi3g1v0074600, LotjaGi3g1v0075500, LotjaGi3g1v0075600, LotjaGi3g1v0074800
OG0000232	AT4G04900, AT4G21745	LotjaGi2g1v0458000
OG0000232	AT2G33460, AT1G04450	LotjaGi6g1v0003400
OG0000232	AT2G20430, AT4G28556, AT1G03982, AT3G23380	LotjaGi5g1v0154700
OG0000233	AT1G18020, AT1G17990, AT1G09400, AT1G76690, AT1G76680	LotjaGi1g1v0641500, LotjaGi2g1v0453400, LotjaGi1g1v0566900, LotjaGi2g1v0453000
OG0000234	AT5G06060	LotjaGi6g1v0063900
OG0000234	AT2G29150, AT2G29360, AT2G29370, AT2G29350, AT2G29290, AT1G07440, AT1G07450	LotjaGi3g1v0491000, LotjaGi3g1v0490800, LotjaGi6g1v0064600
OG0000235	AT3G55370	LotjaGi3g1v0282500
OG0000235	AT5G02460	LotjaGi3g1v0231700, LotjaGi3g1v0231800
OG0000235	AT2G37590	LotjaGi1g1v0539000
OG0000236	AT4G00430, AT1G01620, AT4G23400, AT3G61430	LotjaGi4g1v0427400, LotjaGi2g1v0434500, LotjaGi6g1v0071300, LotjaGi1g1v0080000, LotjaGi3g1v0210700
OG0000237	AT4G04110	LotjaGi3g1v0422700_LC, LotjaGi3g1v0422800
OG0000237	AT5G38344, AT1G57630	LotjaGi1g1v0044800, LotjaGi3g1v0214800_LC
OG0000237	AT2G20142	LotjaGi3g1v0090500, LotjaGi1g1v0233300_LC, LotjaGi3g1v0305800, LotjaGi2g1v0175700, LotjaGi4g1v0287600, LotjaGi2g1v0310300, LotjaGi4g1v0059300, LotjaGi2g1v0310200, LotjaGi4g1v0126300
OG0000238	AT5G61620	LotjaGi2g1v0402700_LC, LotjaGi2g1v0402800
OG0000238	AT5G56840	LotjaGi2g1v0232600, LotjaGi4g1v0441000
OG0000239	AT2G29100, AT2G29120, AT2G29110	LotjaGi1g1v0374200, LotjaGi1g1v0376200, LotjaGi1g1v0373900_LC, LotjaGi1g1v0374000_LC, LotjaGi1g1v0374500_LC
OG0000242	AT2G02340, AT2G02320, AT2G02350, AT2G02360, AT2G02280, AT2G02310, AT2G02300, AT2G02240, AT2G02250, AT2G02230, AT1G80110	LotjaGi5g1v0204400, LotjaGi5g1v0203200
OG0000244	AT5G60660, AT3G54820, AT2G39010, AT3G53420, AT2G37180, AT2G37170	LotjaGi1g1v0691400
OG0000245	AT2G37040, AT3G53260	LotjaGi6g1v0093700, LotjaGi1g1v0690200, LotjaGi1g1v0690300, LotjaGi3g1v0071500, LotjaGi5g1v0102000, LotjaGi5g1v0080000, LotjaGi1g1v0004200, LotjaGi5g1v0272900
OG0000247	AT4G34160, AT3G50070, AT5G67260	LotjaGi2g1v0404900, LotjaGi4g1v0100700, LotjaGi1g1v0358000, LotjaGi2g1v0376500, LotjaGi3g1v0188700, LotjaGi1g1v0274900, LotjaGi5g1v0329300
OG0000252	AT5G13080, AT3G01970	LotjaGi1g1v0626900
OG0000252	AT5G41570, AT1G64000, AT2G46130	LotjaGi1g1v0481700
OG0000253	AT1G32120	LotjaGi1g1v0472100, LotjaGi4g1v0167700_LC, LotjaGi6g1v0164400, LotjaGi6g1v0159000
OG0000254	AT4G29110	LotjaGi3g1v0369700
OG0000255	AT3G22400	LotjaGi5g1v0314850, LotjaGi1g1v0772900, LotjaGi5g1v0221100
OG0000256	AT3G53160	LotjaGi1g1v0684500, LotjaGi1g1v0684100
OG0000257	AT3G09270	LotjaGi3g1v0221700, LotjaGi1g1v0576700, LotjaGi1g1v0577000, LotjaGi1g1v0408100, LotjaGi1g1v0576900, LotjaGi2g1v0089500_LC, LotjaGi1g1v0576800, LotjaGi1g1v0577100, LotjaGi3g1v0221800
OG0000258	AT4G14090	LotjaGi4g1v0369800
